Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Nouvelle-Aquitaine,Hydraulique,49065,49065,"0,17",-,-,5
Occitanie,Hydraulique,87341,87341,"0,16",-,-,5
Pays de la Loire,Hydraulique,1127,1127,"0,15",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,16763,16763,"0,16",-,-,3
Auvergne-Rhône-Alpes,Solaire,11365,11365,"0,16",-,-,5
Bourgogne-Franche-Comté,Solaire,4522,4522,"0,15",-,-,1
Bretagne,Solaire,823,823,"0,15",-,-,2
Centre-Val de Loire,Solaire,3098,3098,"0,24",-,-,3
Grand Est,Solaire,5934,5934,"0,17",-,-,3
Haut-de-France,Solaire,664,664,"0,15",-,-,2
Île-de-France,Solaire,215,215,"0,22",-,-,2
Normandie,Solaire,680,680,"0,15",-,-,1
Nouvelle-Aquitaine,Solaire,34186,34186,"0,18",-,-,5
Occitanie,Solaire,23850,23850,"0,19",-,-,5
Pays de la Loire,Solaire,3549,3549,"0,16",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,25146,25146,"0,21",-,-,3
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,49508,38516,"0,22",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,92605,92605,"0,19",-,-,4
Bretagne,Eolien onshore,121139,121139,"0,19",-,-,3
Centre-Val de Loire,Eolien onshore,135947,135947,"0,18",-,-,3
Grand Est,Eolien onshore,499359,168036,"0,21",-,-,7
Haut-de-France,Eolien onshore,571175,81045,"0,27",-,-,5
Île-de-France,Eolien onshore,9518,9518,"0,2",-,-,2
Normandie,Eolien onshore,112392,112392,"0,19",-,-,3
Nouvelle-Aquitaine,Eolien onshore,86360,3141,"0,38",-,-,1
Occitanie,Eolien onshore,144330,50189,"0,31",-,-,5
Pays de la Loire,Eolien onshore,116977,-,-,-,-,-
Provence-Alpes-Côte d'Azur,Eolien onshore,4505,-,-,-,-,-
Auvergne-Rhône-Alpes,Hydraulique,86401,34315,"0,22",-,-,7
Bourgogne-Franche-Comté,Hydraulique,16419,3345,"0,26",-,-,2
Bretagne,Hydraulique,2547,-,-,-,-,-
Centre-Val de Loire,Hydraulique,3204,-,-,-,-,-
Grand Est,Hydraulique,21306,8364,"0,22",-,-,2
Haut-de-France,Hydraulique,510,-,-,-,-,-
Île-de-France,Hydraulique,164,164,"0,18",-,-,1
Normandie,Hydraulique,3410,-,-,-,-,-
Nouvelle-Aquitaine,Hydraulique,64990,6053,"0,32",-,-,2
Occitanie,Hydraulique,117232,8649,"0,27",-,-,3
Pays de la Loire,Hydraulique,1373,-,-,-,-,-
Provence-Alpes-Côte d'Azur,Hydraulique,22711,1262,"0,3",-,-,2
Auvergne-Rhône-Alpes,Solaire,18134,18134,"0,18",-,-,6
Bourgogne-Franche-Comté,Solaire,7922,7922,"0,18",-,-,2
Bretagne,Solaire,1657,1657,"0,18",-,-,3
Centre-Val de Loire,Solaire,5559,5559,"0,25",-,-,2
Grand Est,Solaire,11734,11734,"0,19",-,-,4
Haut-de-France,Solaire,1497,1497,"0,18",-,-,3
Île-de-France,Solaire,420,420,"0,26",-,-,2
Normandie,Solaire,1461,1461,"0,18",-,-,2
Nouvelle-Aquitaine,Solaire,50427,50427,"0,19",-,-,5
Occitanie,Solaire,33775,33775,"0,2",-,-,6
Pays de la Loire,Solaire,6886,6886,"0,19",-,-,3
Provence-Alpes-Côte d'Azur,Solaire,33869,33869,"0,21",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,36006,36006,"0,2",-,-,3
Bourgogne-Franche-Comté,Eolien onshore,50196,50196,"0,2",-,-,5
Bretagne,Eolien onshore,60294,60294,"0,19",-,-,4
Centre-Val de Loire,Eolien onshore,66433,66433,"0,19",-,-,4
Grand Est,Eolien onshore,247139,247139,"0,2",-,-,5
Haut-de-France,Eolien onshore,257573,257573,"0,22",-,-,6
Île-de-France,Eolien onshore,4848,4848,"0,23",-,-,3
Normandie,Eolien onshore,48506,48506,"0,23",-,-,4
Nouvelle-Aquitaine,Eolien onshore,51829,51829,"0,19",-,-,4
Occitanie,Eolien onshore,94783,94783,"0,23",-,-,6
Pays de la Loire,Eolien onshore,62331,62331,"0,18",-,-,3
Provence-Alpes-Côte d'Azur,Eolien onshore,974,974,"0,18",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,73030,73030,"0,21",-,-,7
Bourgogne-Franche-Comté,Hydraulique,4296,194,"0,35",-,-,1
Bretagne,Hydraulique,806,-,-,-,-,0
Centre-Val de Loire,Hydraulique,1159,-,-,-,-,0
Grand Est,Hydraulique,10867,8805,"0,22",-,-,2
Haut-de-France,Hydraulique,736,-,-,-,-,0
Île-de-France,Hydraulique,706,706,"0,18",-,-,1
Normandie,Hydraulique,2493,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,42880,9582,"0,27",-,-,3
Occitanie,Hydraulique,92558,7920,"0,33",-,-,2
Pays de la Loire,Hydraulique,1140,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,27461,2126,"0,32",-,-,2
Auvergne-Rhône-Alpes,Solaire,22775,22775,"0,2",-,-,4
Bourgogne-Franche-Comté,Solaire,10698,10698,"0,18",-,-,2
Bretagne,Solaire,2191,2191,"0,19",-,-,3
Centre-Val de Loire,Solaire,7826,7826,"0,25",-,-,3
Grand Est,Solaire,18125,18125,"0,18",-,-,2
Haut-de-France,Solaire,2438,2438,"0,18",-,-,3
Île-de-France,Solaire,632,632,"0,25",-,-,3
Normandie,Solaire,2165,2165,"0,18",-,-,2
Nouvelle-Aquitaine,Solaire,61824,61824,"0,2",-,-,5
Occitanie,Solaire,39719,39719,"0,22",-,-,5
Pays de la Loire,Solaire,8923,8923,"0,19",-,-,3
Provence-Alpes-Côte d'Azur,Solaire,40191,40191,"0,24",-,-,6
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,50320,50320,"0,22",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,60063,13303,"0,25",-,-,3
Bretagne,Eolien onshore,71564,71564,"0,22",-,-,2
Centre-Val de Loire,Eolien onshore,90598,1700,"0,38",-,-,1
Grand Est,Eolien onshore,245055,6979,"0,37",-,-,3
Haut-de-France,Eolien onshore,297975,17721,"0,32",-,-,3
Île-de-France,Eolien onshore,5586,-,-,-,-,0
Normandie,Eolien onshore,58090,1545,"0,22",-,-,2
Nouvelle-Aquitaine,Eolien onshore,74394,4406,"0,34",-,-,2
Occitanie,Eolien onshore,102541,21133,"0,36",-,-,2
Pays de la Loire,Eolien onshore,77767,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Eolien onshore,3074,1941,"0,19",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,98095,14429,"0,21",-,-,4
Bourgogne-Franche-Comté,Hydraulique,7692,508,"0,35",-,-,1
Bretagne,Hydraulique,571,-,-,-,-,0
Centre-Val de Loire,Hydraulique,2191,-,-,-,-,0
Grand Est,Hydraulique,8760,1545,"0,35",-,-,1
Haut-de-France,Hydraulique,682,-,-,-,-,0
Île-de-France,Hydraulique,595,-,-,-,-,0
Normandie,Hydraulique,2246,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,51309,6908,"0,32",-,-,2
Occitanie,Hydraulique,113350,8365,"0,31",-,-,2
Pays de la Loire,Hydraulique,802,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,32680,2197,"0,31",-,-,2
Auvergne-Rhône-Alpes,Solaire,25595,25595,"0,21",-,-,4
Bourgogne-Franche-Comté,Solaire,11281,11281,"0,2",-,-,1
Bretagne,Solaire,2988,15,"0,41",-,-,1
Centre-Val de Loire,Solaire,8855,7958,"0,27",-,-,3
Grand Est,Solaire,18844,18844,"0,2",-,-,2
Haut-de-France,Solaire,2714,10,"0,41",-,-,1
Île-de-France,Solaire,738,221,"0,41",-,-,1
Normandie,Solaire,2830,-,-,-,-,0
Nouvelle-Aquitaine,Solaire,83893,7045,"0,39",-,-,3
Occitanie,Solaire,49309,2583,"0,46",-,-,3
Pays de la Loire,Solaire,11227,1929,"0,26",-,-,1
Provence-Alpes-Côte d'Azur,Solaire,45617,10141,"0,42",-,-,3
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,33866,33866,"0,2",-,-,3
Bourgogne-Franche-Comté,Eolien onshore,41264,41264,"0,18",-,-,6
Bretagne,Eolien onshore,50027,50027,"0,16",-,-,6
Centre-Val de Loire,Eolien onshore,68976,68976,"0,15",-,-,4
Grand Est,Eolien onshore,200178,200178,"0,17",-,-,8
Haut-de-France,Eolien onshore,239645,239645,"0,17",-,-,7
Île-de-France,Eolien onshore,3849,3849,"0,25",-,-,2
Normandie,Eolien onshore,48162,48162,"0,22",-,-,5
Nouvelle-Aquitaine,Eolien onshore,48087,48087,"0,15",-,-,3
Occitanie,Eolien onshore,97761,97761,"0,17",-,-,5
Pays de la Loire,Eolien onshore,58556,58556,"0,16",-,-,3
Provence-Alpes-Côte d'Azur,Eolien onshore,2186,2186,"0,15",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,94043,35471,"0,19",-,-,5
Bourgogne-Franche-Comté,Hydraulique,6851,6851,"0,16",-,-,2
Bretagne,Hydraulique,540,-,-,-,-,0
Centre-Val de Loire,Hydraulique,625,-,-,-,-,0
Grand Est,Hydraulique,7792,7792,"0,17",-,-,2
Haut-de-France,Hydraulique,462,-,-,-,-,0
Île-de-France,Hydraulique,333,330,"0,25",-,-,1
Normandie,Hydraulique,1722,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,35581,4286,"0,25",-,-,1
Occitanie,Hydraulique,94396,37546,"0,17",-,-,4
Pays de la Loire,Hydraulique,274,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,32641,1345,"0,25",-,-,1
Auvergne-Rhône-Alpes,Solaire,25183,25183,"0,17",-,-,4
Bourgogne-Franche-Comté,Solaire,10017,10017,"0,15",-,-,1
Bretagne,Solaire,2590,2590,"0,15",-,-,3
Centre-Val de Loire,Solaire,7407,7407,"0,21",-,-,3
Grand Est,Solaire,16247,16247,"0,15",-,-,3
Haut-de-France,Solaire,2275,2275,"0,15",-,-,2
Île-de-France,Solaire,682,682,"0,33",-,-,2
Normandie,Solaire,2341,2341,"0,15",-,-,1
Nouvelle-Aquitaine,Solaire,77398,77398,"0,16",-,-,3
Occitanie,Solaire,51428,51428,"0,17",-,-,3
Pays de la Loire,Solaire,9668,9668,"0,18",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,50205,50205,"0,2",-,-,7
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,31606,31606,"0,17",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,40022,18044,"0,17",-,-,3
Bretagne,Eolien onshore,52030,292,"0,2",-,-,1
Centre-Val de Loire,Eolien onshore,71582,71582,"0,15",-,-,2
Grand Est,Eolien onshore,197746,111130,"0,15",-,-,3
Haut-de-France,Eolien onshore,281585,8478,"0,21",-,-,3
Île-de-France,Eolien onshore,4286,1353,"0,35",-,-,1
Normandie,Eolien onshore,54461,1273,"0,19",-,-,2
Nouvelle-Aquitaine,Eolien onshore,39025,2764,"0,2",-,-,3
Occitanie,Eolien onshore,100003,22396,"0,21",-,-,3
Pays de la Loire,Eolien onshore,52763,1483,"0,16",-,-,1
Provence-Alpes-Côte d'Azur,Eolien onshore,1974,-,-,-,-,0
Auvergne-Rhône-Alpes,Hydraulique,68757,15209,"0,16",-,-,4
Bourgogne-Franche-Comté,Hydraulique,3042,229,"0,18",-,-,1
Bretagne,Hydraulique,245,-,-,-,-,0
Centre-Val de Loire,Hydraulique,115,-,-,-,-,0
Grand Est,Hydraulique,5629,2453,"0,2",-,-,1
Haut-de-France,Hydraulique,264,-,-,-,-,0
Île-de-France,Hydraulique,245,245,"0,35",-,-,1
Normandie,Hydraulique,1316,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,15443,11323,"0,16",-,-,2
Occitanie,Hydraulique,51745,3732,"0,2",-,-,1
Pays de la Loire,Hydraulique,51,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,28609,5358,"0,16",-,-,2
Auvergne-Rhône-Alpes,Solaire,31134,31134,"0,15",-,-,5
Bourgogne-Franche-Comté,Solaire,12210,-,-,-,-,0
Bretagne,Solaire,3275,-,-,-,-,0
Centre-Val de Loire,Solaire,8970,2849,"0,23",-,-,1
Grand Est,Solaire,19217,1434,"0,15",-,-,1
Haut-de-France,Solaire,2402,-,-,-,-,0
Île-de-France,Solaire,810,810,"0,35",-,-,1
Normandie,Solaire,2857,-,-,-,-,0
Nouvelle-Aquitaine,Solaire,97183,8965,"0,22",-,-,2
Occitanie,Solaire,64441,3394,"0,42",-,-,2
Pays de la Loire,Solaire,12973,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Solaire,54408,11295,"0,28",-,-,3
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,34222,29409,"0,17",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,40289,2413,"0,2",-,-,1
Bretagne,Eolien onshore,55171,1617,"0,32",-,-,2
Centre-Val de Loire,Eolien onshore,72887,65828,"0,15",-,-,4
Grand Est,Eolien onshore,188538,12230,"0,17",-,-,3
Haut-de-France,Eolien onshore,250854,37815,"0,17",-,-,5
Île-de-France,Eolien onshore,4264,-,-,-,-,0
Normandie,Eolien onshore,53767,1372,"0,17",-,-,2
Nouvelle-Aquitaine,Eolien onshore,36908,16244,"0,15",-,-,3
Occitanie,Eolien onshore,97900,84922,"0,16",-,-,3
Pays de la Loire,Eolien onshore,47701,1825,"0,21",-,-,1
Provence-Alpes-Côte d'Azur,Eolien onshore,1598,-,-,-,-,0
Auvergne-Rhône-Alpes,Hydraulique,48367,43544,"0,14",-,-,5
Bourgogne-Franche-Comté,Hydraulique,2038,184,"0,16",-,-,1
Bretagne,Hydraulique,335,-,-,-,-,0
Centre-Val de Loire,Hydraulique,14,-,-,-,-,0
Grand Est,Hydraulique,5246,5246,"0,16",-,-,2
Haut-de-France,Hydraulique,50,-,-,-,-,0
Île-de-France,Hydraulique,259,-,-,-,-,0
Normandie,Hydraulique,1372,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,8544,728,"0,18",-,-,1
Occitanie,Hydraulique,34772,7093,"0,15",-,-,2
Pays de la Loire,Hydraulique,5,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,19920,998,"0,17",-,-,1
Auvergne-Rhône-Alpes,Solaire,26860,26860,"0,16",-,-,5
Bourgogne-Franche-Comté,Solaire,10316,10316,"0,13",-,-,2
Bretagne,Solaire,2779,11,"0,41",-,-,1
Centre-Val de Loire,Solaire,7550,4765,"0,17",-,-,2
Grand Est,Solaire,16379,36,"0,41",-,-,1
Haut-de-France,Solaire,2172,11,"0,41",-,-,1
Île-de-France,Solaire,683,237,"0,41",-,-,1
Normandie,Solaire,2255,-,-,-,-,0
Nouvelle-Aquitaine,Solaire,82417,7977,"0,21",-,-,3
Occitanie,Solaire,56622,52019,"0,17",-,-,3
Pays de la Loire,Solaire,10615,2449,"0,28",-,-,1
Provence-Alpes-Côte d'Azur,Solaire,50056,8857,"0,21",-,-,3
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,32871,32871,"0,12",-,-,2
Bourgogne-Franche-Comté,Eolien onshore,48823,48823,"0,11",-,-,2
Bretagne,Eolien onshore,47650,47650,"0,12",-,-,3
Centre-Val de Loire,Eolien onshore,79027,79027,"0,11",-,-,7
Grand Est,Eolien onshore,193244,193244,"0,11",-,-,3
Haut-de-France,Eolien onshore,275723,275723,"0,11",-,-,6
Île-de-France,Eolien onshore,4431,4431,"0,11",-,-,1
Normandie,Eolien onshore,51281,51281,"0,11",-,-,5
Nouvelle-Aquitaine,Eolien onshore,41626,41626,"0,11",-,-,4
Occitanie,Eolien onshore,93210,93210,"0,12",-,-,3
Pays de la Loire,Eolien onshore,50390,50390,"0,11",-,-,2
Provence-Alpes-Côte d'Azur,Eolien onshore,1427,1427,"0,11",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,42823,42823,"0,11",-,-,4
Bourgogne-Franche-Comté,Hydraulique,2573,2573,"0,11",-,-,1
Bretagne,Hydraulique,350,350,"0,11",-,-,1
Centre-Val de Loire,Hydraulique,22,22,"0,11",-,-,1
Grand Est,Hydraulique,5134,5134,"0,13",-,-,2
Haut-de-France,Hydraulique,35,35,"0,11",-,-,1
Île-de-France,Hydraulique,270,270,"0,11",-,-,1
Normandie,Hydraulique,1215,1215,"0,11",-,-,1
Nouvelle-Aquitaine,Hydraulique,11552,11552,"0,12",-,-,1
Occitanie,Hydraulique,31231,31231,"0,11",-,-,1
Pays de la Loire,Hydraulique,8,8,"0,11",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,15776,15776,"0,11",-,-,1
Auvergne-Rhône-Alpes,Solaire,21179,21179,"0,11",-,-,4
Bourgogne-Franche-Comté,Solaire,8927,8927,"0,11",-,-,1
Bretagne,Solaire,2162,2162,"0,11",-,-,2
Centre-Val de Loire,Solaire,6643,6643,"0,14",-,-,1
Grand Est,Solaire,13133,13133,"0,11",-,-,2
Haut-de-France,Solaire,1679,1679,"0,11",-,-,2
Île-de-France,Solaire,506,506,"0,2",-,-,2
Normandie,Solaire,1860,1860,"0,11",-,-,1
Nouvelle-Aquitaine,Solaire,64422,64422,"0,12",-,-,6
Occitanie,Solaire,44306,44306,"0,13",-,-,3
Pays de la Loire,Solaire,8600,8600,"0,15",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,37697,37697,"0,21",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,61258,61258,"0,15",-,-,2
Bourgogne-Franche-Comté,Eolien onshore,100944,78265,"0,13",-,-,4
Bretagne,Eolien onshore,99879,99879,"0,11",-,-,3
Centre-Val de Loire,Eolien onshore,150631,145076,"0,11",-,-,3
Grand Est,Eolien onshore,444579,116940,"0,12",-,-,5
Haut-de-France,Eolien onshore,531890,29987,"0,16",-,-,4
Île-de-France,Eolien onshore,8281,-,-,-,-,0
Normandie,Eolien onshore,102727,2531,"0,15",-,-,2
Nouvelle-Aquitaine,Eolien onshore,77261,13648,"0,13",-,-,3
Occitanie,Eolien onshore,144823,63887,"0,14",-,-,5
Pays de la Loire,Eolien onshore,103488,52990,"0,13",-,-,2
Provence-Alpes-Côte d'Azur,Eolien onshore,2674,-,-,-,-,0
Auvergne-Rhône-Alpes,Hydraulique,77200,65339,"0,12",-,-,5
Bourgogne-Franche-Comté,Hydraulique,10016,778,"0,15",-,-,1
Bretagne,Hydraulique,1400,-,-,-,-,0
Centre-Val de Loire,Hydraulique,1130,-,-,-,-,0
Grand Est,Hydraulique,12736,1798,"0,15",-,-,2
Haut-de-France,Hydraulique,208,-,-,-,-,0
Île-de-France,Hydraulique,294,-,-,-,-,0
Normandie,Hydraulique,2520,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,37942,4230,"0,15",-,-,1
Occitanie,Hydraulique,79106,5075,"0,15",-,-,1
Pays de la Loire,Hydraulique,194,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,19495,918,"0,15",-,-,1
Auvergne-Rhône-Alpes,Solaire,11279,11279,"0,13",-,-,4
Bourgogne-Franche-Comté,Solaire,3786,3786,"0,13",-,-,2
Bretagne,Solaire,1283,1283,"0,12",-,-,2
Centre-Val de Loire,Solaire,3365,3365,"0,15",-,-,2
Grand Est,Solaire,5995,5995,"0,12",-,-,2
Haut-de-France,Solaire,881,158,"0,12",-,-,2
Île-de-France,Solaire,251,89,"0,34",-,-,1
Normandie,Solaire,1012,1012,"0,11",-,-,1
Nouvelle-Aquitaine,Solaire,38474,38474,"0,13",-,-,4
Occitanie,Solaire,27626,27626,"0,13",-,-,4
Pays de la Loire,Solaire,4921,1268,"0,2",-,-,1
Provence-Alpes-Côte d'Azur,Solaire,29668,29668,"0,14",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,52538,51210,"0,13",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,73357,73357,"0,11",-,-,2
Bretagne,Eolien onshore,90271,47564,"0,12",-,-,3
Centre-Val de Loire,Eolien onshore,107127,3731,"0,16",-,-,2
Grand Est,Eolien onshore,299088,299088,"0,11",-,-,5
Haut-de-France,Eolien onshore,432604,317942,"0,11",-,-,5
Île-de-France,Eolien onshore,7646,-,-,-,-,0
Normandie,Eolien onshore,85254,2069,"0,14",-,-,2
Nouvelle-Aquitaine,Eolien onshore,71354,3711,"0,14",-,-,2
Occitanie,Eolien onshore,131659,23937,"0,15",-,-,2
Pays de la Loire,Eolien onshore,90148,2990,"0,18",-,-,1
Provence-Alpes-Côte d'Azur,Eolien onshore,1903,-,-,-,-,0
Auvergne-Rhône-Alpes,Hydraulique,61521,15188,"0,12",-,-,3
Bourgogne-Franche-Comté,Hydraulique,7693,463,"0,13",-,-,1
Bretagne,Hydraulique,2684,-,-,-,-,0
Centre-Val de Loire,Hydraulique,1067,-,-,-,-,0
Grand Est,Hydraulique,12256,1432,"0,13",-,-,1
Haut-de-France,Hydraulique,305,-,-,-,-,0
Île-de-France,Hydraulique,198,-,-,-,-,0
Normandie,Hydraulique,1237,-,-,-,-,0
Nouvelle-Aquitaine,Hydraulique,30126,3325,"0,13",-,-,1
Occitanie,Hydraulique,71876,4258,"0,13",-,-,1
Pays de la Loire,Hydraulique,505,-,-,-,-,0
Provence-Alpes-Côte d'Azur,Hydraulique,17795,3575,"0,12",-,-,2
Auvergne-Rhône-Alpes,Solaire,12401,473,"0,15",-,-,3
Bourgogne-Franche-Comté,Solaire,4489,76,"0,18",-,-,1
Bretagne,Solaire,971,143,"0,17",-,-,2
Centre-Val de Loire,Solaire,4035,1019,"0,17",-,-,2
Grand Est,Solaire,6468,124,"0,18",-,-,2
Haut-de-France,Solaire,623,5,"0,33",-,-,1
Île-de-France,Solaire,586,58,"0,33",-,-,1
Normandie,Solaire,1014,-,-,-,-,0
Nouvelle-Aquitaine,Solaire,38752,3049,"0,18",-,-,5
Occitanie,Solaire,25591,1519,"0,43",-,-,5
Pays de la Loire,Solaire,4895,1268,"0,19",-,-,1
Provence-Alpes-Côte d'Azur,Solaire,23300,5639,"0,24",-,-,6
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,71635,71635,"0,19",-,-,3
Bourgogne-Franche-Comté,Eolien onshore,109821,109821,"0,2",-,-,3
Bretagne,Eolien onshore,129115,129115,"0,2",-,-,3
Centre-Val de Loire,Eolien onshore,179184,179184,"0,2",-,-,4
Grand Est,Eolien onshore,433709,433709,"0,2",-,-,5
Haut-de-France,Eolien onshore,554560,554560,"0,19",-,-,9
Île-de-France,Eolien onshore,14884,14884,"0,18",-,-,2
Normandie,Eolien onshore,113138,113138,"0,13",-,-,4
Nouvelle-Aquitaine,Eolien onshore,111375,111375,"0,13",-,-,2
Occitanie,Eolien onshore,159564,159564,"0,13",-,-,4
Pays de la Loire,Eolien onshore,138019,138019,"0,13",-,-,3
Provence-Alpes-Côte d'Azur,Eolien onshore,2485,2485,"0,2",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,78302,71629,"0,12",-,-,8
Bourgogne-Franche-Comté,Hydraulique,13942,1732,"0,12",-,-,2
Bretagne,Hydraulique,3353,-,-,-,-,0
Centre-Val de Loire,Hydraulique,3153,-,-,-,-,0
Grand Est,Hydraulique,16950,1953,"0,12",-,-,2
Haut-de-France,Hydraulique,563,-,-,-,-,0
Île-de-France,Hydraulique,323,-,-,-,-,0
Normandie,Hydraulique,3586,457,"0,1",-,-,1
Nouvelle-Aquitaine,Hydraulique,54190,7839,"0,14",-,-,3
